Wall time,Step,Value
1757736317.1100345,6000000,-171.75631713867188
1757736387.5125432,22800000,-96.75550079345703
1757736495.4062188,49200000,-69.42235565185547
1757736529.8729625,57600000,-66.5188980102539
1757736534.807663,58800000,-67.1698989868164
1757736603.758278,75600000,-62.170372009277344
1757736608.6814861,76800000,-62.64203643798828
1757736628.4118295,81600000,-60.977516174316406
1757736648.102037,86400000,-60.06338882446289
1757736677.7053316,93600000,-59.99656295776367
1757736702.2964916,99600000,-59.88705062866211
1757736736.8250725,108000000,-54.78969955444336
1757736786.3319402,120000000,-51.15401077270508
1757736806.2314777,124800000,-50.64210891723633
1757736825.9853194,129600000,-54.39543533325195
1757736895.3497303,146400000,-44.30530548095703
1757736931.239837,154800000,-38.2438850402832
1757736941.4449754,157200000,-37.583343505859375
1757737013.5116155,174000000,-29.584293365478516
1757737029.0607283,177600000,-27.339553833007812
1757737081.8222997,189600000,-25.172531127929688
1757737097.3576503,193200000,-24.550161361694336
1757737107.6768565,195600000,-23.451826095581055
1757737118.147404,198000000,-23.142921447753906
1757737159.595289,207600000,-20.29509925842285
1757737257.9887755,230400000,-11.681112289428711
1757737323.405055,244800000,-7.009842872619629
1757737334.687668,247200000,-6.64369010925293
1757737380.6282613,256800000,-5.939255714416504
1757737476.675748,276000000,-4.838155746459961
1757737566.1348712,294000000,-4.086519241333008
1757737572.0876293,295200000,-4.01737117767334
1757737650.9294775,310800000,-3.658668279647827
1757737656.8752468,312000000,-3.6557583808898926
1757737729.6916611,326400000,-3.4491987228393555
1757737747.716549,330000000,-3.407733678817749
1757737796.4445665,339600000,-3.3427093029022217
1757737815.1119914,343200000,-3.2771902084350586
1757737877.3395095,355200000,-3.174943685531616
1757738006.914042,380400000,-2.996595621109009
1757738025.477503,384000000,-2.97123646736145
1757738044.1209745,387600000,-2.9215762615203857
1757738192.8409147,416400000,-2.7478671073913574
1757738267.4950387,430800000,-2.7075626850128174
1757738304.9363081,438000000,-2.686641216278076
1757738317.4226825,440400000,-2.6332900524139404
1757738392.3890707,454800000,-2.6477036476135254
1757738442.536966,464400000,-2.6229281425476074
1757738467.659329,469200000,-2.603701591491699
1757738480.2830203,471600000,-2.640509843826294
1757738543.0946398,483600000,-2.59370493888855
1757738555.7203896,486000000,-2.601189613342285
1757738625.423159,499200000,-2.5789577960968018
1757738670.4929018,507600000,-2.583569049835205
1757738759.9213068,524400000,-2.5408895015716553
1757738766.2597358,525600000,-2.534708261489868
1757738778.8157678,528000000,-2.5385043621063232
1757738823.0495634,536400000,-2.435692548751831
1757738919.7904246,554400000,-2.4781105518341064
1757738945.1451592,559200000,-2.3610970973968506
1757739002.1976328,570000000,-2.3980326652526855
1757739008.4826758,571200000,-2.347099542617798
1757739040.1632824,577200000,-2.2961442470550537
1757739046.5043304,578400000,-2.3011834621429443
1757739084.6913383,585600000,-2.2354536056518555
1757739230.9136894,613200000,-2.0658509731292725
1757739243.6669502,615600000,-2.0245752334594727
1757739250.0461,616800000,-2.0197527408599854
1757739256.3911126,618000000,-2.01928448677063
1757739275.5238082,621600000,-2.0095086097717285
1757739288.244647,624000000,-1.9912736415863037
1757739377.7681074,640800000,-1.7971562147140503
1757739384.1817403,642000000,-1.801211953163147
1757739396.9698348,644400000,-1.7564170360565186
1757739409.7645464,646800000,-1.7765400409698486
1757739422.6026497,649200000,-1.7650952339172363
1757739461.0665526,656400000,-1.6592329740524292
1757739499.5971217,663600000,-1.5716296434402466
1757739525.2587757,668400000,-1.6133562326431274
1757739563.8424,675600000,-1.4855419397354126
1757739576.7470446,678000000,-1.3951436281204224
1757739602.4734652,682800000,-1.3000556230545044
1757739744.397311,709200000,-0.7529831528663635
1757739770.1374547,714000000,-0.6267745494842529
1757739783.0208244,716400000,-0.5950154662132263
1757739898.3597555,738000000,0.4219226837158203
1757739955.3602464,748800000,1.2423646450042725
1757739986.9300592,754800000,1.7451965808868408
1757739993.1946583,756000000,1.8827011585235596
1757740043.0824711,765600000,2.9634993076324463
1757740080.2996738,772800000,3.801346778869629
1757740086.6089144,774000000,3.9862358570098877
1757740172.497573,790800000,6.408320426940918
1757740227.0160773,801600000,8.086729049682617
1757740275.2148771,811200000,9.796707153320312
1757740281.2073634,812400000,10.106898307800293
1757740376.8007243,831600000,13.576143264770508
1757740388.661662,834000000,13.939380645751953
1757740547.929146,866400000,17.50602912902832
1757740571.428807,871200000,18.2955265045166
1757740606.6483178,878400000,18.746246337890625
1757740682.657807,894000000,20.126327514648438
1757740799.2160435,918000000,21.956588745117188
1757740863.1512516,931200000,22.902008056640625
1757740868.971855,932400000,23.144229888916016
1757740903.795452,939600000,23.357704162597656
1757740938.6048195,946800000,24.200647354125977
1757741031.140058,966000000,26.815576553344727
1757741036.957399,967200000,26.52858543395996
1757741048.5022457,969600000,26.306066513061523
1757741117.8994908,984000000,27.508953094482422
1757741192.8922079,999600000,28.142147064208984
1757741336.8554053,1029600000,31.055261611938477
1757741388.7271268,1040400000,30.770885467529297
1757741417.6070595,1046400000,31.552709579467773
1757741503.8794808,1064400000,33.17438888549805
1757741567.1462638,1077600000,33.62600326538086
1757741590.0714483,1082400000,33.69981002807617
1757741756.3250158,1117200000,36.24614334106445
1757741767.7799835,1119600000,35.34894561767578
1757741825.1051738,1131600000,36.56905746459961
1757741865.2610207,1140000000,36.878082275390625
1757741945.4890525,1156800000,37.538307189941406
1757742151.3172195,1200000000,39.73068618774414
1757742168.4082685,1203600000,40.09078598022461
1757742179.813262,1206000000,40.73617935180664
